color_name,color_id
ROJO/ROJO CLARO,60254
ROJO/ROJO VIGORE,60245
ROJO/ROYAL,6005
ROSA CHICLE,34
ROSA CLARO,48
ROSA CLARO/GRIS VIGORE,4858
ROSA FLUOR,228
ROSA LADY FLUOR,125
ROSA SEDA,481
ROSA SEDA/NEGRO,48102
ROSETON,78
ROSETON VIGORE,252
ROSETON/PURPURA,7871
ROYAL,05
ROYAL VIGORE,248
ROYAL/AMARILLO FLUOR,05221
ROYAL/BLANCO,0501
ROYAL/LIMA PUNCH,05235
ROYAL/MARINO,0555
ROYAL/NEGRO,0502
ROYAL/ROYAL CLARO,05242
TEJA,277
TURQUESA,12
TURQUESA FLUOR,176
TURQUESA FLUOR/MARINO,17655
TURQUESA VIGORE,246
TURQUESA/PLOMO OSCURO,1246
TURQUESA/TURQUESA VIGORE,12246
UVA,988
VAQUERO,143
VERDE AVENTURA,152
VERDE BOTELLA,56
VERDE BOTELLA VIGORE,257
VERDE BOTELLA/BLANCO,5601
VERDE BOTELLA/GRIS VIGORE,5658
VERDE BOTELLA/LIMA PUNCH,56235
VERDE FLUOR,222
VERDE FLUOR/BLANCO,22201
VERDE FLUOR/MARINO,22255
VERDE FLUOR/NEGRO,22202
VERDE GRASS,83
VERDE HELECHO,226
VERDE HELECHO/MARINO,22655
VERDE HELECHO/NEGRO,22602
VERDE HUMO,380
VERDE IRISH,24
VERDE JARDÍN,52
VERDE JARDÍN/AMARILLO FLÚOR,52221
VERDE KELLY,20
VERDE KELLY/BLANCO,2001
VERDE LAB,17
VERDE LAUREL,275
VERDE MANTIS,69
VERDE MANTIS VIGORE,693
VERDE MAREA,041
VERDE MENTA,98
VERDE MILITAR,15
VERDE MILITAR OSCURO,38
VERDE MILITAR OSCURO VIGORE,153
VERDE MIST,264
VERDE OASIS,114
VERDE PATO LAVADO,806
VERDE PINO,159
VERDE SENDA,124
VERDE TROPICAL,216
VERDE TROPICAL/MARINO,21655
VIGORÉ MULTICOLOR,167
VIOLETA,95
